prompt,text,rejected_text
[閒聊] 日本水蚤－百合限定,"日本水蚤是完全不跟雄性交配的完全百合，
是大約3000年前從北美到日本的一對姊妹繁殖而成的家系，
因為這麼討厭雄性，而導致多樣性下降進而面臨的絕種的危機，
為了這種水蚤，而在某動畫網站上，
於2015年的聖誕節，播放了超過20小時的「公開交配直播」。

這個水蚤版的Pornhub的觀眾超過了26萬人，
是個100%善意，為了讓不喜歡男性的潔癖女孩子懷孕
而把他們關在小房間裡面直播其交配畫面，非常特別的「白色聖誕節」。

--
繪師講的20小時直播應該是這個，
為了教育日本水蚤如何性交而(略
雖然這個直播不是在聖誕節就是了

--
",I don't know what you are talking about.
[閒聊] 白蓮教的教主是怎麼讓信眾義無反顧啊？,"如題

這是白蓮教的老大


這個是白蓮教信眾


那白蓮教的教主到底是怎麼讓這些白蓮教信眾幫他敲鑼打鼓宣傳造勢

甚至讓這些信眾義無反顧的拼一次啊？


--
",I don't know what you are talking about.
[閒聊] 光速蒙面俠21 特別紀念 55頁 彩圖,"特報
連載21周年記念
「#アイシールド21」が週刊少年ジャンプに帰ってくる
特別読切が特大センターカラー55ページで掲載決定

2024年1月29日(月)発売予定の
週刊少年ジャンプ9号をぜひご覧ください


----
Sent from BePTT

--
",I don't know what you are talking about.
[閒聊] 喜歡的創作者頻道收了QQQQQQQQQQQ,"就如提 今天一如己往打開YT

收尋我喜歡的那個頻道 在收尋欄位打上我喜歡的那首

我很膚淺 但她其他的創作真的沒打到我的點

就唯獨那首幽靈東京的中文填詞版-幽靈台北 打到我內心

可是就在今天 隨著她最近的公告

因為某些現實上的外務不得不收起頻道

也使得那首觸動我內心的幽靈台北也收了起來

再見了我認為最棒的中文填詞版本的幽靈東京

再見了stacey / stay & see

希望你之後的未來順利快樂

也希望有朝一日我能在聽到那收幽靈台北

=
沒關係 騙自己沒問題
用謊言一天一天打造夢想和現實的替代品
失去太多自己 麻木變成了慣性
落下的眼淚也不過只是
紀念這座城市慘忍的絢麗
=

--
",I don't know what you are talking about.
Re: [新聞] 市場情緒悲觀，A股遊戲股早盤續挫,"
最白癡的是這群人同一套作法已經在過去三年把自己國家經濟玩死了，然後他們腦殘到好像
不知道問題出在哪裡一樣，每一次都搞一樣的東西

論本質，他們的執政黨其實腦袋就沒有法治 自由 市場機制這一套，一切就是想到哪做到哪
，跟狗咬尾巴一樣愚蠢，然後決策同溫層厚到不行，腦袋正常的中國人也已經沒辦法影響維
尼決策圈的意見了

你覺得一個國家高層，每次都要像是白紙革命那樣各省響應才能變更作法，到底有什麼改革
希望？

只是反正維尼總會死，有生之年的確可以看到中國在他手下慢慢腐爛，畢竟崩潰是不切實際
的，但腐爛的這長時間的痛苦是中國人自己在過去一直退讓自己權利要承擔的業報

--
",I don't know what you are talking about.
Re: [閒聊] 白蓮教的教主是怎麼讓信眾義無反顧啊？,"我推薦你看一部武狀元蘇乞兒

「丐幫有幾多乞兒係由你決定」

如果皇帝英明神武國泰民安
誰吃飽了撐著要去當乞丐

-----
Sent from JPTT on my Asus ASUS_AI2302.

--
",I don't know what you are talking about.
[討論] 以前漫畫的35歲男性 現在的,"以前漫畫的35歲男性 現在漫畫的35歲

好像真的是這樣耶
毛利小五郎38歲
但現在漫畫的38歲角色已經不會畫成毛利這樣了


--
",I don't know what you are talking about.
[閒聊] 岩本佳浩 洛克人X聖誕賀圖,"作者：岩本佳浩 @iwamoto_yoshi


老師：啊啊啊啊，日期寫錯了啊w
      在回覆前都沒注意到
      只有確認是不是2023年，沒想到日搞錯了> <



壽屋獵鷹鎧甲預購賀圖



然後AMAZON上老師畫的洛克人X系列漫畫電子版發售中

--
",I don't know what you are talking about.
[Holo] 寶鐘瑪琳聖誕節想跟佩可拉一起吃炸雞,"
熊瑪琳正在津津有味地吃著熱熱的炸雞和披薩
@yami40oji

此時，佩可拉還端上了剛做好的義大利麵

熊瑪琳吃得好開心啊！

賢慧的佩可拉，看著聖誕樹，露出了欣慰的笑容。

這是熊瑪琳掛在聖誕樹上的卡面裡面所寫願望─
        想跟佩可拉一起吃垃圾食物

最後還有好吃的蛋糕呢～!

外面天氣很冷，但PekoMarine卻令人感到溫暖無比
@kano09x

@06a91_

@1219_yusuke

PekoMarine結婚真是太神啦！
@KisaNiyaV

@blueta9810

@my_my_tsumuri

@amane_unkai

--
令人心跳加速的購物旅程
原出處：https://twitter.com/Hairi_1617/status/1521780942221631489

--
",I don't know what you are talking about.
Re: [閒聊] 急了（by 桃井,"說到急了

今天聖誕節

狼師沒有人約

被小桃戳破後，只能悻悻說出：我、我是有事情所以才沒答應其他人的邀、邀請的

小桃：

 https://i.imgur.com/OnBYisE.jpg

祝福各位聖誕節快樂

各位別急

讓我先急

我本子畫不完了
----
Sent from BePTT on my iPhone16,2

--
",I don't know what you are talking about.
[陸漫] 救命是救人還是修仙 ,"陸漫很多有錢人的兒女長輩都有絕症
但是各大名醫都救不了
可是主角剛修仙下來
那些凡人的絕症
摸兩下
札兩針就好
然後就感恩待德
所以到底是修仙還是治症

--
你跟我講這些有啥用 我啥都不知道

--
",I don't know what you are talking about.
[閒聊] 今日の曹操,"
----
Sent from BePTT

--
",I don't know what you are talking about.
"[閒聊] 日本歷年電影票房排名,日本電影前幾名全是動畫","
第一名就是鬼滅 無限列車
第二名則是神隱少女

前十名的電影,日本國產電影也只有「大搜查線2 THE MOVIE 2：封鎖彩虹橋」是真人電影
,而且還是日劇衍生劇場版

完全是純屬原創的日本國產真人電影,票房最高的也就1983年的「南極物語」


怪不得有人敢說日本電影如果扣除動畫電影,根本沒得救了

--
「何というかな。ああ、生まれて来てよかった、そう思うことが何べんかあるだろう
。そのために生きてんじゃねえか。そのうちお前にもそういう時が来るよ、な？　まぁ
、がんばれ」。

                                              男はつらいよ 39作目  寅次郎物語

--
",I don't know what you are talking about.
[原神] 太抽象了 雨傘變魚傘 ,"b站連結
太抽象了
新角色娜維婭拿雨傘
但是可以卡一些有趣的bug
變魚傘
太抽象了
這bug

--
你跟我講這些有啥用 我啥都不知道

--
",I don't know what you are talking about.
[閒聊] 聖誕明日小路,"
--
",I don't know what you are talking about.
Re: [閒聊] 白蓮教的教主是怎麼讓信眾義無反顧啊？,"其實不用在意白蓮教
你讓百姓過上好日子
老百姓自己就會忘記白蓮教
可是如果一天不如一天
買不起房
結不起婚
生不了小孩
老百姓就會自發地去教堂門口排隊
把心裡的委屈說給教主聽

-----
Sent from JPTT on my Samsung SM-S9010.

--
",I don't know what you are talking about.
[Holo] 與FWMC的聖誕節,"
選項：甜甜圈

應該不會有人選「我很忙」吧

應該不會有人選「我很忙」吧!!?!?!?!

狗狗把環境弄得一團亂，應該教訓一下

聖誕快樂

請問這款遊戲叫什麼名字，什麼時候開賣

--
",I don't know what you are talking about.
[死神] 久保：代理死神是有薪水的,"
一樣出自FC的問答

等一護死後發現自己在屍魂界有一筆錢不知道是什麼感受
不過都有薪水了不知道有沒有幫他保勞保

-----
Sent from JPTT on my Samsung SM-A146P.

--
",I don't know what you are talking about.
